Šifra;Naziv županije;Naziv JLS-a;2012.;2013.;2014.;2015.;2016.;2017.;2018.;;
5681;Brodsko-posavska;DRAGALI?;.;.;.;.;.;.;.;;
906;Karlova?ka;DRAGANI?;.;.;.;.;z;.;.;;
914;Osje?ko-baranjska;DRAŽ;.;.;.;z;.;.;.;;
922;Vukovarsko-srijemska;DRENOVCI;.;z;.;.;z;.;.;;
949;Osje?ko-baranjska;DRENJE;.;.;.;.;.;.;.;;
957;Šibensko-kninska;DRNIŠ;z;z;z;z;z;z;11;;
965;Koprivni?ko-križeva?ka;DRNJE;.;.;.;.;.;.;z;;
973;Zagreba?ka;DUBRAVA;.;.;.;z;z;.;.;;
5495;Zagreba?ka;DUBRAVICA;.;.;.;.;z;.;.;;
5983;Dubrova?ko-neretvanska;DUBROVA?KO PRIMORJE;z;.;z;z;.;z;z;;
981;Dubrova?ko-neretvanska;DUBROVNIK;235;225;273;254;290;327;273;;
990;Karlova?ka;DUGA RESA;18;12;21;19;31;20;27;;
1007;Splitsko-dalmatinska;DUGI RAT;10;z;z;11;11;17;21;;
1015;Zagreba?ka;DUGO SELO;88;50;39;43;45;61;68;;
5851;Splitsko-dalmatinska;DUGOPOLJE;.;z;z;z;z;z;20;;
1023;Sisa?ko-moslava?ka;DVOR;.;.;.;.;.;.;z;;
1031;Osje?ko-baranjska;?AKOVO;73;55;30;57;72;50;58;;
1040;Koprivni?ko-križeva?ka;?ELEKOVEC;.;z;.;.;z;.;z;;
1058;Bjelovarsko-bilogorska;?ULOVAC;.;.;z;.;.;.;z;;
1066;Osje?ko-baranjska;?UR?ENOVAC;z;z;z;z;15;z;10;;
1074;Koprivni?ko-križeva?ka;?UR?EVAC;z;12;z;11;14;13;19;;
1082;Krapinsko-zagorska;?URMANEC;.;z;.;.;.;.;.;;
1104;Osje?ko-baranjska;ERDUT;.;.;.;.;.;.;.;;
1112;Osje?ko-baranjska;ERNESTINOVO;.;.;.;.;.;.;.;;
1139;Šibensko-kninska;ERVENIK;.;.;.;.;.;.;.;;
1147;Zagreba?ka;FARKAŠEVAC;.;.;.;.;.;.;.;;
6190;Istarska;FAŽANA - FASANA;25;25;33;35;35;35;55;;
1155;Koprivni?ko-križeva?ka;FERDINANDOVAC;z;.;.;z;.;.;z;;
1163;Osje?ko-baranjska;FERI?ANCI;.;.;.;.;.;.;.;;
6297;Istarska;FUNTANA - FONTANE;z;z;22;11;11;23;13;;
1171;Primorsko-goranska;FUŽINE;19;z;z;z;z;.;14;;
5711;Zadarska;GALOVAC;.;.;.;.;.;.;.;;
1180;Brodsko-posavska;GAR?IN;.;.;z;z;.;.;z;;
1198;Bjelovarsko-bilogorska;GAREŠNICA;z;10;12;z;z;z;15;;
1201;Karlova?ka;GENERALSKI STOL;.;.;.;.;.;.;.;;
1210;Sisa?ko-moslava?ka;GLINA;z;z;z;.;z;z;z;;
1228;Koprivni?ko-križeva?ka;GOLA;z;.;z;.;.;.;z;;
1236;Me?imurska;GORI?AN;z;.;.;.;.;.;z;;
1244;Osje?ko-baranjska;GORJANI;.;.;.;.;.;.;.;;
6181;Koprivni?ko-križeva?ka;GORNJA RIJEKA;z;z;.;.;.;.;.;;
1252;Krapinsko-zagorska;GORNJA STUBICA;.;z;.;.;.;.;z;;
5690;Brodsko-posavska;GORNJA VRBA;.;.;.;.;.;.;.;;
1279;Brodsko-posavska;GORNJI BOGI?EVCI;.;.;.;.;.;.;.;;
1295;Varaždinska;GORNJI KNEGINEC;.;.;z;z;.;.;.;;
6041;Me?imurska;GORNJI MIHALJEVEC;z;.;.;.;.;.;.;;
1309;Li?ko-senjska;GOSPI?;34;38;18;27;68;35;41;;
1317;Zadarska;GRA?AC;z;z;z;z;z;.;.;;
1325;Istarska;GRA?IŠ?E;.;.;.;.;.;.;.;;
1333;Grad Zagreb;GRAD ZAGREB;4834;4506;4280;5401;7278;7516;8362;;
1341;Splitsko-dalmatinska;GRADAC;z;z;z;z;z;z;z;;
1350;Zagreba?ka;GRADEC;z;.;z;.;.;.;.;;
1368;Viroviti?ko-podravska;GRADINA;.;z;.;.;.;.;.;;
1376;Vukovarsko-srijemska;GRADIŠTE;.;.;.;z;.;.;.;;
1384;Istarska;GROŽNJAN - GRISIGNANA;.;.;.;z;.;.;z;;
1392;Bjelovarsko-bilogorska;GRUBIŠNO POLJE;z;10;z;.;z;z;z;;
1406;Brodsko-posavska;GUNDINCI;.;.;.;.;.;.;.;;
1414;Vukovarsko-srijemska;GUNJA;.;z;.;.;.;.;z;;
5100;Sisa?ko-moslava?ka;GVOZD;.;z;.;.;z;.;z;;
1449;Bjelovarsko-bilogorska;HERCEGOVAC;.;z;.;.;.;.;z;;
1457;Koprivni?ko-križeva?ka;HLEBINE;.;.;.;.;.;.;z;;
1465;Krapinsko-zagorska;HRAŠ?INA;.;.;.;.;.;.;z;;
1481;Splitsko-dalmatinska;HRVACE;.;.;.;z;.;.;.;;
